"ID","EjBetalat","LanPerManad","TotaltLan","Fastighetsvarde","ArPaArbete","NBetAnmark","NForsenBetal","KreditAlder","Nkreditprovningar","Nkrediter","KvotKreditInk","AnledningID","ArbeteID"
42,1,3000,73760.82,33000,1,0,1,23.3,1,2,33.77992,2,3
43,1,3000,119826,193500,8,0,0,130.0333585,0,27,33.77992,2,3
44,1,3000,20000,29750,2,0,0,187.0666667,0,12,33.77992,1,3
45,1,3000,73760.82,14500,3,0,0,9.3,14,2,33.77992,2,3
46,1,3000,73760.82,14100,1,0,0,104.2,0,19,33.77992,2,3
47,1,3000,47000,82700,10,0,1,262.1666667,5,26,33.77992,2,4
48,1,3000,34542,45900,8.5,0,2,62.36666667,0,10,33.77992,2,1
49,0,3000,58000,71500,10,0.25457,2,211.9333333,0,25,33.77992,2,1
50,0,3000,47000,56400,21,0,0,201.8666667,0,20,33.77992,2,2
51,1,3100,39589,36100,1.5,0,0,153.1666667,1,14,33.77992,2,3
52,0,3100,73760.82,70400,8.922268,0.25457,0,179.7663,1.186055,21.2961,33.77992,1,3
53,0,3200,67848,74566,10,0.25457,1,206.4266021,0,25,40.11567728,2,1
54,1,3200,48603,61000,28,0,4,122.0333333,1,25,33.77992,2,4
55,1,3200,27200,40834,8.922268,0,0,298.131564,0,7,35.55353879,2,3
56,1,3200,54000,64850,1,0,0,121.8666667,3,21,33.77992,2,3
57,0,3200,74864,87266,7,0,0,250.6312692,0,12,42.90999735,2,4
58,1,3200,23159,101776,20,0.25457,2,117.8057478,0,9,0.524499215,2,1
59,1,3300,126541,134527,9,1,0,139,0,36,33.77992,2,5
60,1,3300,130518,164317,9,0,6,192.289149,0,33,35.73055919,1,3
61,1,3400,37000,52000,2,0,1,183.2999156,0,6,33.77992,2,2
62,1,3500,23200,38666,11,0,0,162.3666667,0,14,33.77992,2,3
63,1,3500,19400,20494,5,0,0,95.93333333,0,9,33.77992,2,3
64,1,3600,61584,61800,10,0.25457,0,179.7663,1.186055,21.2961,33.77992,2,4
65,1,3600,41900,52490,3,0,0,72.03333333,2,4,33.77992,2,1
66,0,3600,83700,111800,6,0,0,192.7333333,1,28,33.77992,2,4
67,0,3600,61327,76484,9,0.25457,2,202.5107752,0,25,41.5163897,2,1
68,0,3600,100693,114743,6,0,0,88.47045213,0,14,29.39354338,2,2
69,1,3600,48507,61000,13,1,4,97.4,0,17,33.77992,1,2
70,0,3600,52337,63989,20,0,0,204.2724988,0,20,20.47091551,2,2
71,1,3700,17857,21144,5,0,0,129.7173231,1,9,26.63434752,2,3
72,1,3800,19135,97692,1.6,1,6,252.6333333,1,25,33.77992,2,1
73,0,3800,51180,63459,20,0,0,203.7515336,0,20,20.06704205,2,2
74,0,3800,73760.82,73189,8.922268,0.25457,0,179.7663,1.186055,21.2961,22.25394916,1,3
75,0,3800,11543,46045,8.922268,0,0,204.6479917,0,11,42.17316588,2,6
76,1,3900,29896,45960,11,0,0,146.1232422,0,14,24.47888119,2,3
77,1,3900,14500,22092,3.5,0,1,150.3,5,8,33.77992,2,3
78,0,3900,52825,63000,8,0,4,171.6666667,1,31,33.77992,1,4
79,0,3900,102143,118742,2,0,0,85.27736558,0,13,29.34392109,2,2
80,1,3900,21200,39000,4,0,1,86.56666667,2,14,33.77992,1,1
81,0,4000,105164,112774,1,0,0,94.72487417,0,13,29.39092806,2,2
82,0,4000,54543,61777,21,0,0,205.58668,0,19,21.80656346,2,2
83,1,4000,73760.82,80609,1.5,0,2,126.5333333,3,12,33.77992,2,3
84,1,4000,26572,31960,11,0,0,117.7951039,0,8,41.28649195,2,2
85,1,4000,17000,52012,22,3,1,85.33333333,1,9,33.77992,2,4
86,1,4000,29562,37200,6,0,0,92.13333333,1,26,33.77992,1,3
87,1,4000,41700,76725,0.5,0,3,136.1333333,0,15,33.77992,2,3
88,1,4000,58000,69440,3.5,0,1,168.6666667,0,18,33.77992,2,3
89,1,4000,5700,18000,8.922268,0,0,12.2,0,17,33.77992,1,3
90,1,4000,45000,58350,3.5,0,0,162,3,16,33.77992,2,1
91,1,4000,7000,16020,18,0,1,85.8,2,23,33.77992,2,3
92,0,4000,66000,79050,1.8,2,0,279,1,6,33.77992,2,3
93,0,4000,73760.82,45760,0,0,0,179.7663,0,0,33.77992,2,3
94,0,4000,62000,78000,4,0,0,109.5666667,0,15,33.77992,2,3
95,0,4000,64240,63990,5,2,0,160.3,1,23,33.77992,2,5
96,1,4000,74000,93000,2.6,1,3,186.6333333,1.186055,9,33.77992,2,4
97,1,4000,55000,59000,12,2,0,146.1,0,22,33.77992,1,3
98,0,4000,67625,80698,11,0.25457,1,212.3493039,0,25,39.12871763,2,1
99,0,4000,67533,71865,10,0.25457,2,227.7929884,0,25,39.1663287,2,1
100,1,4100,73760.82,19132,0,0,0,100.7746522,0,19,33.8409199,2,3
101,1,4100,58500,65000,8,1,2,63.93333333,2,15,33.77992,2,3
102,0,4100,57992,63797,7,0,4,165.505037,1,31,22.27817437,1,4
103,0,4200,56544,59218,19,0,0,211.0025991,1,20,19.02770442,2,2
104,1,4200,34800,50225,2,1,0,93.5,1,5,33.77992,2,3
105,0,4200,67700,77000,4,0,0,128.8333333,0,31,33.77992,1,5
106,0,4200,44000,55085,6,0.25457,1,75.43333333,1.186055,16,33.77992,1,3
107,0,4200,66272,82953,3,0,0,110.2786626,0,15,43.45058791,2,3
108,0,4200,50216,58541,19,0,0,209.8713022,0,19,20.20803267,2,2
109,0,4300,71206,78698,3,0,0,129.932869,0,31,34.18137652,1,5
110,0,4300,68815,79852,6,0,0,105.1207088,0,14,41.80637615,2,3
111,0,4300,72021,80027,2,2,0,263.9703003,0,5,36.43209394,2,3
112,0,4400,53969,63869,7,0,3,162.3900107,0,30,23.58107924,1,4
113,0,4400,73760.82,60250,8.922268,0.25457,0,179.7663,1.186055,21.2961,33.77992,1,3
114,1,4400,53091,64074,14,1,3,89.86105825,0,17,39.15808483,1,2
115,0,4500,66127,79087,4,1,0,81.3490651,0,15,40.70530876,2,3
116,0,4500,73760.82,77182,8.922268,0.25457,0,179.7663,1.186055,21.2961,25.2272529,1,3
117,1,4500,39000,66000,1,0,0,170.3666667,1,19,33.77992,2,3
118,0,4500,71082,79247,4,0,0,118.7604101,0,14,41.42111052,2,3
119,0,4500,73760.82,49044,0,0,0,179.7663,0,0,11.6527388,2,3
120,1,4500,57000,101776,5,0.25457,0,222.6,1,13,33.77992,2,3
121,1,4500,34184,46000,3.5,0,1,122.6,2,22,33.77992,2,1
122,1,4500,66517,87000,10,0,4,125.8,0,34,33.77992,1,4
123,0,4500,45500,50000,6,0,0,86.16666667,0,18,33.77992,2,3
124,1,4500,118000,146870,4.5,2,0,203.8666667,1,20,33.77992,2,4
125,1,4500,90000,105800,6,2,3,80.1,3,10,33.77992,2,3
126,0,4700,67913,97205,2,0,0,142.8243915,0,24,35.22699719,1,1
127,0,4700,71855,88566,2,2,0,283.9595381,0,5,36.47547328,2,3
128,0,4700,53918,59511,6,0.25457,0,54.13647743,1.186055,15,34.41650781,1,3
129,1,4700,49100,58238,0.1,0,0,61.8,2,17,33.77992,2,4
130,0,4700,88026,115506,6,0,0,182.2483316,0,27,29.20902258,2,4
131,1,4700,26900,45000,9,1,2,90.46666667,1,16,33.77992,2,4
132,0,4800,67317,97191,3,0,0,137.3197248,0,23,34.27529378,1,1
133,0,4800,56067,63102,9,0,3,160.1463113,1,30,21.58376012,1,4
134,0,4800,80482,88342,7,0,0,275.0323948,0,11,43.71763511,2,4
135,0,4900,58688,63348,9,0,3,179.1625747,2,31,22.54439284,1,4
136,0,4900,65873,90408,2,0,0,141.858999,0,23,37.76961861,1,1
137,1,4900,25597,23031,5,0,0,101.7467664,0,8,33.24315698,2,3
138,0,4900,67794,84630,4,0,0,112.5734189,0,15,41.67399636,2,3
139,1,4900,44000,59745,10,0,0,81.5,3,13,33.77992,2,3
140,0,4900,73760.82,28437.5,8.922268,0.25457,0,179.7663,1.186055,21.2961,33.77992,2,3
141,0,4900,170986,245300,8.922268,0,0,131.9333333,0,22,33.77992,1,5
142,1,4900,65576,65774,6,1,2,61.64250608,1,14,40.59091002,2,3
143,0,4900,57461,68494,8,0,4,183.6356132,0,30,22.79542355,1,4
144,0,4900,73760.82,69706,8.922268,0.25457,0,179.7663,1.186055,21.2961,33.70558774,1,3
145,0,5000,73760.82,34846,8.922268,0.25457,0,179.7663,1.186055,21.2961,33.35465263,2,3
146,0,5000,47479,61690,5,0.25457,0,65.03296901,1.186055,16,36.69941492,1,3
147,0,5000,66839,87168,4,0,0,122.5972226,0,15,40.61677935,2,3
148,0,5000,12457,53448,8.922268,0,0,207.1434813,0,12,44.10795169,2,6
149,0,5000,90059,113714,7,0,0,193.6364469,0,28,25.89731648,2,4
150,1,5000,22320,34900,10,0,0,65.7,1,5,33.77992,2,3
151,1,5000,40000,70500,0.4,0,0,61.76666667,2,8,33.77992,2,1
152,1,5000,100882,102700,5,0,1,58.86666667,0,16,33.77992,2,1
153,1,5000,31000,47350,12,0.25457,0,179.7663,1.186055,21.2961,33.77992,2,4
154,1,5000,63125,126500,3,0,0,100.3,0,14,33.77992,2,2
155,1,5000,1e+05,129693.5,13,0.25457,0,179.7663,1.186055,21.2961,33.77992,2,1
156,1,5000,73760.82,132000,17.5,0,2,121.9,0,14,33.77992,2,3
157,1,5000,73760.82,9100,1,0,0,54.73333333,2,8,33.77992,2,3
158,1,5000,34200,50830,6,0,0,57,1,9,33.77992,2,3
159,1,5000,73760.82,71277,10,0,0,72.43333333,1,12,33.77992,2,3
160,1,5000,123000,157500,9,0.25457,0,179.7663,1.186055,21.2961,33.77992,2,1
161,1,5000,16600,25250,6,0,0,88.7,1,3,33.77992,2,3
162,1,5000,73760.82,52000,8.922268,0,1,285.3333333,0,6,33.77992,2,3
163,1,5000,22700,34225,4,0,0,74.63333333,3,9,33.77992,2,3
164,1,5000,6000,38575,7,0,1,335.0333333,3,42,33.77992,2,6
165,1,5000,73760.82,74500,19,0.25457,0,179.7663,1.186055,21.2961,33.77992,2,3
166,1,5000,73760.82,94119,19,0.25457,0,179.7663,1.186055,21.2961,33.77992,2,3
167,0,5000,73126,87500,1,0,0,125.9666667,2,10,33.77992,1,3
168,0,5000,72517,86250,19,0,1,300.3666667,1,24,33.77992,1,1
169,0,5000,26037,35000,12,0,0,182.6333333,0,13,33.77992,2,4
170,0,5000,39000,50340,10,0.25457,0,179.8333333,1.186055,19,33.77992,2,2
171,0,5000,73760.82,26550,1.7,0,0,276.9666667,1,14,33.77992,1,3
172,0,5000,70470,77908,5,0.25457,0,179.7663,1.186055,21.2961,33.77992,1,3
173,0,5000,73760.82,36375,3,0,0,266.8,1,26,33.77992,2,3
174,0,5000,74225,89640,0.3,0.25457,0,179.7663,1.186055,21.2961,33.77992,1,4
175,0,5000,73760.82,65400,1.5,0,0,51.76666667,0,4,33.77992,2,2
176,1,5000,73760.82,37500,8.922268,0,3,107.1333333,10,5,33.77992,2,3
177,0,5000,78565,98500,24,0,0,51.76666667,3,14,33.77992,1,4
178,0,5000,59900,80800,15,0,0,219.1333333,1,18,33.77992,1,4
179,1,5000,10171,26809,13,3,6,228.3,0,24,33.77992,2,2
180,1,5000,78893,82600,16,0,0,133.9,1,34,33.77992,2,1
181,1,5000,85165,107940,6,5,3,122.7666667,5,28,33.77992,2,1
182,1,5000,68000,75616,0.1,0,0,131.8666667,0,30,33.77992,1,4
183,1,5000,71571,85100,1.4,0,1,82.13333333,0,13,33.77992,1,4
184,1,5000,28000,36810,2,1,0,222.2,1,6,33.77992,1,3
185,1,5000,40000,32480,8,3,2,163.3666667,1,16,33.77992,2,3
186,1,5000,81748,101776,14,1,2,144.0666667,2,17,33.77992,1,4
187,0,5000,44674,59375,10,0.25457,0,178.6925087,1.186055,19,26.44819746,2,2
188,1,5000,61999,75021.3,5,0,0,97.1,0,23,33.77992,2,3
189,0,5000,80153,97275,1,0,0,120.6750632,2,10,37.51270841,1,3
190,0,5000,68739,93435,3,0,0,148.7204047,0,23,36.66927861,1,1
191,0,5000,51209,55320,5,0.25457,1,69.1074656,1.186055,15,35.02507297,1,3
192,1,5000,46696,85202,2,1,2,148.3406455,0,14,46.489874,2,3
193,0,5000,73760.82,46281,2,0,0,257.6522064,0,26,40.95258888,2,3
194,0,5000,66435,82819,2,0,0,125.1306256,0,14,42.18353867,2,3
195,0,5100,179725,251962,8.922268,0,0,127.4988134,0,22,40.30825936,1,5
196,0,5100,85583,115341,7,0,0,177.9582551,1,28,26.25797013,2,4
197,0,5100,72891,80691,1,1,0,273.8817052,0,6,39.85214652,2,3
198,1,5100,30755,46735,10,0,0,69,0,17,33.77992,2,3
199,0,5100,73760.82,26715,1,0,0,258.7892976,0,14,26.72234334,1,3
200,0,5100,87258,121382,6,0,0,181.6630402,0,28,25.44475915,2,4
201,0,5100,73760.82,28291,2,0,0,277.9445608,1,14,23.64469128,1,3
202,1,5100,9900,30451,11,0,0,21.2,0,2,33.77992,2,3
203,0,5100,93000,116875,10,0.25457,0,417.6333333,2,50,33.77992,2,3
204,1,5100,15500,34000,0,1,2,86.23333333,2,13,33.77992,1,3
205,1,5100,129319,141875,7,1,0,157.8598021,0,36,25.65074122,2,5
206,0,5100,66834,87361,0,2,0,290.034108,0,6,38.76698507,2,3
207,0,5100,73882,96031,0,0,0,125.7874001,1,10,34.44607922,1,3
208,0,5100,74071,97064,0,0,0,121.0759726,2,9,36.40172955,1,3
209,0,5100,62702,79784,2,0,0,108.0725908,0,15,43.29013982,2,3
210,0,5200,73760.82,36425,2,0,0,266.8134646,1,14,23.79740106,1,3
211,0,5200,67000,77000,9,0,1,119.7,0,25,33.77992,2,3
212,0,5200,43039,53521,11,0.25457,0,184.2966873,1.186055,19,24.41476318,2,2
213,0,5200,19000,26000,0,1,0,17.2,10,7,33.77992,1,3
214,1,5200,73760.82,9500,1,0,1,81.1,1,2,33.77992,1,3
215,0,5200,91250,110000,24,0,0,123.7666667,1,12,33.77992,2,2
216,0,5200,16324,45187,8.922268,0,0,221.1180817,0,11,42.71209384,2,6
217,1,5200,40564,39527,0,0,0,157.7710357,1,13,72.67043331,2,3
218,0,5300,73698,84427,4,0.25457,0,179.7663,1.186055,21.2961,19.13120118,1,3
219,0,5300,66987,65111,4,1,0,175.3287038,1,22,40.44257039,2,5
220,1,5300,26908,36078,8.922268,0,0,302.3587095,0,8,39.1969854,2,3
221,0,5300,73760.82,49396,0,0,0,179.7663,0,0,12.04367058,2,3
222,0,5300,44993,50673,7,0.25457,0,184.7427672,1.186055,18,27.90612273,2,2
223,1,5300,51000,64000,10,1,0,98.33333333,0,12,33.77992,2,1
224,0,5300,75958,91703,0,0,0,124.1821788,1,10,34.59906019,1,3
225,0,5300,97132,117343,22,0,0,109.9339079,1,11,35.8385427,2,2
226,0,5300,60826,80826,10,0.25457,1,212.8917461,0,25,38.59149403,2,1
227,0,5300,83552,96809,0,0.25457,0,179.7663,1.186055,21.2961,28.42396191,1,4
228,0,5300,47449,63895,19,0,0,208.162714,0,20,19.7621137,2,2
229,0,5300,50934,62957,21,0,0,197.2419573,0,20,19.35050563,2,2
230,0,5400,53429,64505,5,0.25457,0,69.54243011,1.186055,16,36.4802363,1,3
231,0,5400,73760.82,65474,1,0,0,40.709849,0,4,37.84877103,2,2
232,0,5400,47844,52040,8,0.25457,0,189.0343046,1.186055,18,24.70113626,2,2
233,1,5400,45509,57453,4,0,0,95.6,0,22,33.77992,1,5
234,1,5400,59720,63450,5,0,1,199.9,1,20,33.77992,2,4
235,0,5400,86922,119846,5,0,0,185.0763473,1,28,26.35488929,2,4
236,0,5400,68625,82304,2,0,0,136.6329442,0,30,32.05002349,1,5
237,0,5400,65814,85848,4,0,0,122.9402886,0,15,44.09232568,2,3
238,0,5400,73760.82,75254,8.922268,0.25457,0,179.7663,1.186055,21.2961,23.16374295,1,3
239,1,5400,78300,88000,8,0,0,102.5,3,19,33.77992,2,4
240,0,5400,48152,55760,6,0.25457,0,78.45212577,1.186055,16,35.763638,1,3
241,0,5500,70481,82446,8,0,1,116.5919769,0,24,37.61268272,2,3
242,0,5500,73760.82,35402,8.922268,0.25457,0,179.7663,1.186055,21.2961,35.27207374,2,3
243,0,5500,87765,101053,22,0,0,55.55804904,2,13,31.37554242,1,4
244,0,5500,52897,65054,20,0,0,189.2953185,0,19,20.6541289,2,2
245,1,5500,24700,35675,1,0,3,153.9333333,3,27,33.77992,1,3
246,1,5500,73760.82,43132,8.922268,0.25457,0,179.7663,1.186055,21.2961,33.77992,2,3
247,0,5500,43486,81600,4,0,0,216.1333333,4,30,33.77992,1,3
248,1,5500,21359,30000,7,3,2,130.8,3,14,33.77992,1,3
249,1,5500,73760.82,13770,5,0,1,167.3666667,1,8,33.77992,2,1
250,0,5500,93051,115374,6,0,0,187.0205188,1,27,27.6467485,2,4
251,0,5500,87438,116679,6,0,0,186.424416,1,27,28.4175309,2,4
252,0,5500,78059,78179,5,0.25457,0,179.7663,1.186055,21.2961,20.67931358,1,3
253,0,5500,72147,69918,4,2,0,158.5344979,0,23,43.40443024,2,5
254,1,5500,40584,46645,4,0,1,136.3206375,0,13,34.49470896,2,3
255,1,5500,73760.82,12972,1,0,1,82.29426635,0,2,36.9867441,2,3
256,1,5500,37368,48502,9,0,2,48.995845,0,10,33.12648397,2,1
257,0,5500,73760.82,66251,1,0,0,43.72233695,0,3,41.45204353,2,2
258,0,5500,71644,72696,4,2,0,150.8658451,0,22,40.44256778,2,5
259,1,5500,85845,122205,5,0,0,172.2132767,1,26,32.67664088,1,4
260,0,5600,53793,66379,22,0,0,206.0991341,0,19,18.36954053,2,2
261,0,5600,69435,83489,14,0,0,200.418434,1,17,22.84109285,1,4
262,0,5600,29648,39907,11,0,0,180.5630691,0,13,21.55494966,2,4
263,0,5600,76407,77485,9,0,0,91.68377063,0,24,37.77335098,2,3
264,1,5600,5000,66700,31,1,1,204.0666667,0,11,33.77992,2,3
265,1,5600,55160,86800,3,1,1,148.1333333,1,14,33.77992,2,3
266,0,5600,41439,53893,8,0.25457,0,181.3229899,1.186055,19,24.65139574,2,2
267,0,5600,15275,47954,8.922268,0,0,204.335245,0,12,42.39776964,2,6
268,0,5700,100934,111496,23,0,0,117.4995929,0,12,38.75056267,2,2
269,0,5700,73760.82,74685,8.922268,0.25457,0,179.7663,1.186055,21.2961,24.27486527,1,3
270,0,5700,49514,58249,21,0,0,212.5391151,0,21,21.25802688,2,2
271,0,5700,76948,85753,7,0,0,128.4764515,0,25,37.85968784,2,3
272,0,5700,28127,36524,10,0,0,181.2829568,0,13,24.33953357,2,4
273,0,5700,73760.82,68591,0,0,0,69.64566047,0,4,41.18503956,2,2
274,0,5700,26927,35461,0,1,0,21.79935215,10,6,29.43966424,1,3
275,0,5700,49806,82242,3,0,0,210.3474786,3,30,31.2434087,1,3
276,1,5700,70000,84579,0.1,0,0,95.9,1,17,33.77992,1,5
277,1,5700,58400,75000,4,0,0,177.5,2,26,33.77992,2,4
278,1,5700,80437,109647,9.5,0,0,104.4,0,14,33.77992,2,4
279,1,5700,77213,92661,0,0,0,97.13317095,1,16,41.77788863,1,5
280,0,5700,62319,82923,4,0,0,117.6739652,0,15,42.46486629,2,3
281,0,5700,71556,79538,2,0,0,92.64308456,0,15,41.21001247,2,3
282,0,5700,73760.82,39052,3,0,0,272.2206283,0,25,39.89610462,2,3
283,1,5700,74172,79846,0,0,0,157.0097747,0,28,47.41522866,1,4
284,0,5700,28116,33450,0,1,0,15.39658739,9,7,30.0170133,1,3
285,0,5700,73760.82,64910,8.922268,0.25457,0,179.7663,1.186055,21.2961,33.85046122,1,3
286,0,5700,73760.82,69172,1,0,0,48.85366706,0,3,38.77368596,2,2
287,0,5800,73760.82,36385,2,0,0,266.5533944,1,25,43.30976454,2,3
288,0,5800,73760.82,41119,2,0,0,261.4052186,0,26,42.19194156,2,3
289,0,5800,75000,90543,18,0,0,300.4872058,1,23,38.94057536,1,1
290,0,5800,79296,86885,19,0,1,307.9748816,1,23,39.95910876,1,1
291,1,5800,27791,46833,3,0,0,83.28906275,1,13,30.18780539,1,1
292,0,5800,172595,250155,8.922268,0,0,126.4009836,0,21,43.20775979,1,5
293,0,5800,73760.82,34704,8.922268,0.25457,0,179.7663,1.186055,21.2961,34.17405555,2,3
294,0,5800,73760.82,73804,1,0,0,71.76655716,0,4,41.28742339,2,2
295,0,5800,46595,58191,5,0,0,80.13174641,0,17,24.14015367,2,3
296,1,5900,73760.82,28000,1,2,1,36.76666667,1,8,33.77992,1,6
297,0,5900,70973,77989,7,0,0,120.3794143,0,24,41.44250046,2,3
298,1,5900,73760.82,33100,8.922268,0,0,238.6,1,2,33.77992,2,3
299,0,5900,73760.82,51189,1,0,0,179.7663,0,0,12.74918064,2,3
300,0,5900,82912,91175,2,0.25457,0,179.7663,1.186055,21.2961,27.59527352,1,4
301,1,5900,25972,41856,2,0,2,157.9600114,3,27,40.62827817,1,3
302,0,5900,74187,78976,9,0,1,118.442491,0,24,40.11040743,2,3
303,0,5900,73760.82,66903,8.922268,0.25457,0,179.7663,1.186055,21.2961,32.78292683,1,3
304,1,5900,106650,101776,1,0,6,250.5666667,4,23,33.77992,1,1
305,0,6000,73760.82,69492,8.922268,0.25457,0,179.7663,1.186055,21.2961,32.97719723,1,3
306,0,6000,95232,115977,22,0,0,149.0229081,1,12,37.95433691,2,2
307,1,6000,47625,85925,0.1,2,1,154.1333333,4,26,33.77992,2,2
308,1,6000,24600,30500,4.5,0,1,116.1,8,34,33.77992,2,3
309,1,6000,65000,94355,26,1,3,69.3,1,34,33.77992,1,3
310,1,6000,73760.82,101776,13,0.25457,2,122.7666667,1.186055,23,33.77992,2,2
311,1,6000,33600,101776,2,0,0,140.9333333,1,20,33.77992,2,3
312,1,6000,42000,58305,19,0,0,90,2,13,33.77992,1,3
313,1,6000,32446,54904,2,0,0,51.73333333,1,9,33.77992,2,3
314,1,6000,9660,35900,8,0,1,136.3,3,6,33.77992,1,3
315,1,6000,22859,32200,4,0,0,83.33333333,3,20,33.77992,1,3
316,1,6000,16878,25850,1,0,1,218.6,5,34,33.77992,1,1
317,0,6000,72951,80000,22.8,0,0,343.9,1,47,33.77992,2,3
318,0,6000,43000,57460,1.6,1,0,101.5,1.186055,13,33.77992,2,3
319,0,6000,53500,64790,0.1,0,2,105.4,3,18,33.77992,1,3
320,0,6000,69876,94394.07,0,0,1,179.5666667,0,32,33.77992,2,3
321,0,6000,51000,86125,6,0,0,222.1666667,2,24,33.77992,2,4
322,0,6000,53227,68700,3,0,2,122.7333333,0,23,33.77992,2,1
323,0,6000,73760.82,43300,8.922268,0.25457,0,100.9333333,1.186055,9,33.77992,2,3
324,0,6000,14000,61493,23,0,0,321.6333333,1,13,33.77992,2,2
325,1,6000,40000,54600,4,0,4,101.4,0,19,33.77992,2,4
326,1,6000,18793,27750,6,0,3,119.7,0,8,33.77992,2,1
327,1,6000,179397,2e+05,5,6,0,90.3,6,29,33.77992,1,4
328,1,6000,73760.82,95500,6,1,2,129.9,1,22,33.77992,2,1
329,0,6000,79046,103048,0,0,0,181.696538,0,32,37.28998992,2,3
330,0,6000,73760.82,53190,0,0,0,179.7663,0,0,15.174415,2,3
331,1,6000,73760.82,43683,8.922268,0.25457,0,179.7663,1.186055,21.2961,21.93549881,2,3
332,0,6000,129731,154113,12,0,0,213.5333333,0,19,33.77992,2,4
333,0,6100,48500,62500,7,0.25457,4,111.3,2,11,33.77992,1,1
334,0,6100,73760.82,47400,8.922268,0.25457,0,179.7663,1.186055,21.2961,33.77992,1,3
335,0,6100,91704,114799,22,0,0,129.2500896,1,12,36.74676624,2,2
336,0,6100,47604,54966,5,0,0,70.69532973,0,18,24.76674453,2,3
337,0,6100,73760.82,35250,8.922268,0.25457,0,303,1.186055,12,33.77992,2,3
338,1,6100,62751,95617,1,0,0,138.6468632,1,13,31.75727069,2,3
339,0,6100,48300,53388,9,0.25457,0,178.4896022,1.186055,19,26.72002818,2,2
340,0,6100,68743,65321,3,1,0,153.0667831,0,22,40.15052706,2,5
341,0,6100,79636,87276,20,0,0,350.4361375,0,47,28.84827658,2,3
342,0,6100,73760.82,46830,0,0,1,179.7663,0,0,13.30601308,2,3
343,0,6100,78753,95433,0,0.25457,0,179.7663,1.186055,21.2961,28.92511742,1,4
344,0,6100,77265,97944,0,0.25457,0,179.7663,1.186055,21.2961,28.87646305,1,4
